A  	Element	Z  	N  	Par. Elevel	Unc. 	JPi       	Dec Mode	T1/2 (txt)    	T1/2 (num)        	Daughter	Radiation
252	CF     	98 	154	0.0        	     	0+        	A       	2.645 Y 8     	8.347E7           	248CM   	A 
251	CF     	98 	153	0.0        	     	1/2+      	A       	898 Y 44      	2.834E10          	247CM   	A    
249	BK     	97 	152	0.0        	     	7/2+      	A       	330 D 4       	2.851E7           	245AM   	A 
244	CM     	96 	148	0.0        	     	0+        	A       	18.11 Y 3     	5.715E8           	240PU   	A  
241	AM     	95 	146	0.0        	     	5/2-      	A       	432.6 Y 6     	1.365E10          	237NP   	A     
238	U      	92 	146	0.0        	     	0+        	A       	4.468E+9 Y 3  	1.41E17           	234TH   	A 
238	PU     	94 	144	0.0        	     	0+        	A       	87.7 Y 1      	2.768E9           	234U    	A
237	NP     	93 	144	0.0        	     	5/2+      	A       	2.144E+6 Y 7  	6.766E13          	233PA   	A  
232	TH     	90 	142	0          	     	0+        	A       	14.0E+9 Y 1   	4.418E17          	228RA   	A 
187	RE     	75 	112	0.0        	     	5/2+      	B-      	4.33E+10 Y 7  	1.366E18          	187OS   	BM 

